DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum
20,2016-11-14,21600151,True,1,0.0,-6,96,1610612762,Utah Jazz,0,0.0,False,0,0.0,6,102,1610612763,Memphis Grizzlies,1,0.0
20,2016-11-14,21600152,True,0,0.0,32,127,1610612746,LA Clippers,1,0.0,False,1,0.0,-32,95,1610612751,Brooklyn Nets,0,0.0
21,2016-11-15,21600153,True,0,0.0,4,121,1610612739,Cleveland Cavaliers,1,1.0,False,1,1.0,-4,117,1610612761,Toronto Raptors,0,0.0
21,2016-11-15,21600154,False,0,0.0,3,93,1610612737,Atlanta Hawks,1,0.0,True,1,0.0,-3,90,1610612748,Miami Heat,0,0.0
21,2016-11-15,21600155,True,1,0.0,-7,108,1610612750,Minnesota Timberwolves,0,0.0,False,0,0.0,7,115,1610612766,Charlotte Hornets,1,0.0
21,2016-11-15,21600156,False,0,0.0,25,113,1610612741,Chicago Bulls,1,0.0,True,1,0.0,-25,88,1610612757,Portland Trail Blazers,0,0.0
21,2016-11-15,21600157,True,0,0.0,7,125,1610612747,Los Angeles Lakers,1,0.0,False,1,0.0,-7,118,1610612751,Brooklyn Nets,0,0.0
22,2016-11-16,21600158,True,0,0.0,7,109,1610612755,Philadelphia 76ers,1,0.0,False,1,0.0,-7,102,1610612764,Washington Wizards,0,0.0
22,2016-11-16,21600159,False,1,0.0,-7,82,1610612740,New Orleans Pelicans,0,0.0,True,0,0.0,7,89,1610612753,Orlando Magic,1,0.0
22,2016-11-16,21600160,False,1,0.0,-10,93,1610612739,Cleveland Cavaliers,0,0.0,True,0,0.0,10,103,1610612754,Indiana Pacers,1,0.0
22,2016-11-16,21600161,True,0,0.0,7,90,1610612738,Boston Celtics,1,0.0,False,1,0.0,-7,83,1610612742,Dallas Mavericks,0,0.0
22,2016-11-16,21600162,True,0,1.0,3,105,1610612752,New York Knicks,1,0.0,False,1,0.0,-3,102,1610612765,Detroit Pistons,0,1.0
22,2016-11-16,21600163,True,0,0.0,7,107,1610612737,Atlanta Hawks,1,0.0,False,1,0.0,-7,100,1610612749,Milwaukee Bucks,0,0.0
22,2016-11-16,21600164,False,1,0.0,-2,103,1610612745,Houston Rockets,0,0.0,True,0,0.0,2,105,1610612760,Oklahoma City Thunder,1,0.0
22,2016-11-16,21600165,False,0,0.0,6,127,1610612744,Golden State Warriors,1,0.0,True,1,0.0,-6,121,1610612761,Toronto Raptors,0,0.0
